,Executing Time,Buffer Data,Process Name,Consume/Produce
0,19:48:18,"['S', '0', '0', '0', '0', '0', '0', '0', '0', '0']",Process-7-P,S
1,19:48:20,"['S', 'A', '0', '0', '0', '0', '0', '0', '0', '0']",Process-6-P,A
2,19:48:21,"['S', 'A', '0', '0', '0', '0', '0', '0', '0', '0']",Process-5-C,S
3,19:48:22,"['0', 'A', '0', '0', '0', '0', '0', '0', '0', '0']",Process-4-C,A
4,19:48:25,"['0', '0', 'O', '0', '0', '0', '0', '0', '0', '0']",Process-7-P,O
5,19:48:29,"['0', '0', 'O', 'V', '0', '0', '0', '0', '0', '0']",Process-6-P,V
6,19:48:31,"['0', '0', 'O', 'V', '0', '0', '0', '0', '0', '0']",Process-4-C,O
7,19:48:34,"['0', '0', '0', 'V', 'E', '0', '0', '0', '0', '0']",Process-7-P,E
8,19:48:35,"['0', '0', '0', 'V', 'E', '0', '0', '0', '0', '0']",Process-5-C,V
9,19:48:39,"['0', '0', '0', '0', 'E', 'L', '0', '0', '0', '0']",Process-6-P,L
10,19:48:41,"['0', '0', '0', '0', 'E', 'L', '0', '0', '0', '0']",Process-4-C,E
11,19:48:43,"['0', '0', '0', '0', '0', 'L', 'W', '0', '0', '0']",Process-7-P,W
12,19:48:44,"['0', '0', '0', '0', '0', 'L', 'W', '0', '0', '0']",Process-5-C,L
13,19:48:47,"['0', '0', '0', '0', '0', '0', 'W', 'H', '0', '0']",Process-6-P,H
14,19:48:49,"['0', '0', '0', '0', '0', '0', 'W', 'H', '0', '0']",Process-4-C,W
15,19:48:52,"['0', '0', '0', '0', '0', '0', '0', 'H', 'X', '0']",Process-7-P,X
16,19:48:54,"['0', '0', '0', '0', '0', '0', '0', 'H', 'X', '0']",Process-5-C,H
17,19:48:58,"['0', '0', '0', '0', '0', '0', '0', '0', 'X', 'H']",Process-6-P,H
18,19:48:59,"['0', '0', '0', '0', '0', '0', '0', '0', 'X', 'H']",Process-4-C,X
19,19:49:03,"['S', '0', '0', '0', '0', '0', '0', '0', '0', 'H']",Process-7-P,S
20,19:49:05,"['S', '0', '0', '0', '0', '0', '0', '0', '0', 'H']",Process-5-C,H
21,19:49:09,"['S', 'N', '0', '0', '0', '0', '0', '0', '0', '0']",Process-6-P,N
22,19:49:11,"['S', 'N', '0', '0', '0', '0', '0', '0', '0', '0']",Process-4-C,S
23,19:49:13,"['0', 'N', 'D', '0', '0', '0', '0', '0', '0', '0']",Process-7-P,D
24,19:49:14,"['0', 'N', 'D', '0', '0', '0', '0', '0', '0', '0']",Process-5-C,N
25,19:49:17,"['0', '0', 'D', 'F', '0', '0', '0', '0', '0', '0']",Process-6-P,F
26,19:49:19,"['0', '0', 'D', 'F', 'D', '0', '0', '0', '0', '0']",Process-7-P,D
27,19:49:21,"['0', '0', 'D', 'F', 'D', '0', '0', '0', '0', '0']",Process-4-C,D
28,19:49:23,"['0', '0', '0', 'F', 'D', '0', '0', '0', '0', '0']",Process-5-C,F
29,19:49:27,"['0', '0', '0', '0', 'D', 'H', '0', '0', '0', '0']",Process-6-P,H
30,19:49:31,"['0', '0', '0', '0', 'D', 'H', 'L', '0', '0', '0']",Process-7-P,L
31,19:49:33,"['0', '0', '0', '0', 'D', 'H', 'L', '0', '0', '0']",Process-4-C,D
32,19:49:34,"['0', '0', '0', '0', '0', 'H', 'L', '0', '0', '0']",Process-5-C,H
33,19:49:37,"['0', '0', '0', '0', '0', '0', 'L', 'U', '0', '0']",Process-6-P,U
34,19:49:39,"['0', '0', '0', '0', '0', '0', 'L', 'U', 'X', '0']",Process-7-P,X
35,19:49:41,"['0', '0', '0', '0', '0', '0', 'L', 'U', 'X', '0']",Process-4-C,L
36,19:49:43,"['0', '0', '0', '0', '0', '0', '0', 'U', 'X', '0']",Process-5-C,U
37,19:49:45,"['0', '0', '0', '0', '0', '0', '0', '0', 'X', 'F']",Process-6-P,F
38,19:49:47,"['0', '0', '0', '0', '0', '0', '0', '0', 'X', 'F']",Process-4-C,X
39,19:49:49,"['0', '0', '0', '0', '0', '0', '0', '0', '0', 'F']",Process-5-C,F
